location,lon,lat
"Ставрополь, Ставропольский край",41.9683,45.0455
"Копейск, Челябинская область",61.6458,55.134
"Тбилисская, Краснодарский край",40.1854,45.3624
"Абинск, Краснодарский край",38.1645,44.8715
"Кореновск, Краснодарский край",39.4481,45.4624
"Новомосковск, Тульская область",38.2963,54.0109
"Златоуст, Челябинская область",59.6859,55.1559
"Карталы, Челябинская область",60.6374,53.0554
"Азов, Ростовская область",39.4137,47.0947
"Ангарск, Иркутская область",103.9172,52.5156
"Новоалтайск, Алтайский край",83.9208,53.4416
"Богатое, Самарская область",51.3407,53.0609
"Козулька, Красноярский край",91.3939,56.1622
"Бугульма, Татарстан",52.8261,54.522
"Котово, Волгоградская область",44.802,50.3155
"Бисерть, Свердловская область",59.0476,56.8521
"Якшур-Бодья, Удмуртия",53.1639,57.1859
"Дюртюли, Башкортостан",54.8619,55.4788
"Таганрог, Ростовская область",38.8676,47.2416
"Норильск, Красноярский край",88.1893,69.3558
"Соликамск, Пермский край",56.7558,59.672
"Суворовская, Ставропольский край",42.6444,44.1941
"Тобольск, Тюменская область",68.2635,58.2
"Воткинск, Удмуртия",53.9769,57.0409
"Новотроицк, Оренбургская область",58.2988,51.2011
"Суксун, Пермский край",57.3961,57.1392
"Семенов, Нижегородская область",44.5018,56.7889
"Полазна, Пермский край",56.4173,58.3006
"Анжеро-Судженск, Кемеровская область",85.9955,56.0955
"Шелехов, Иркутская область",104.0988,52.2075
"Волгодонск, Ростовская область",42.1794,47.506
"Нефтекамск, Башкортостан",54.2867,56.1026
"Чебаркуль, Челябинская область",60.3856,54.9811
"Летняя Ставка, Ставропольский край",43.447,45.428
"Строитель, Белгородская область",36.4807,50.7878
"Невинномысск, Ставропольский край",41.9505,44.638
"Углич, Ярославская область",38.3308,57.5248
"Железногорск, Красноярский край",93.4888,56.2344
"Миасс, Челябинская область",60.1035,55.0507
"Кущевская, Краснодарский край",39.6117,46.5545
"Тоцкое, Оренбургская область",52.7445,52.522
"Маркс, Саратовская область",46.7485,51.7106
"Алексин, Тульская область",37.0013,54.5072
"Красный Сулин, Ростовская область",40.0677,47.8881
"Елабуга, Татарстан",52.0255,55.7632
"Кстово, Нижегородская область",44.174,56.1329
"Изобильный, Ставропольский край",41.7107,45.3701
"Варениковская, Краснодарский край",37.6483,45.1159
"Октябрьский, Башкортостан",53.4895,54.4772
"Чекмагуш, Башкортостан",54.6406,55.1394
"Выкса, Нижегородская область",42.1702,55.3262
"Городец, Нижегородская область",43.4801,56.65
"Новокуйбышевск, Самарская область",49.8913,53.0961
"Талнах, Красноярский край",88.4,69.5
"Валуйки, Белгородская область",38.1181,50.2026
"Катав-Ивановск, Челябинская область",58.2152,54.7641
"Асбест, Свердловская область",61.4581,57.0053
"Бор, Нижегородская область",44.0767,56.3588
"Белокуриха, Алтайский край",84.9936,51.9948
"Губаха, Пермский край",57.5544,58.8389
"Монетный, Свердловская область",60.8828,57.0578
"Ишимбай, Башкортостан",56.0508,53.4264
"Гороховец, Владимирская область",42.6953,56.1962
"Мыски, Кемеровская область",87.8022,53.7114
"Ишим, Тюменская область",69.4771,56.1146
"Павловская, Краснодарский край",39.7879,46.136
"Чапаевск, Самарская область",49.7067,52.9697
"Урай, Ханты-Мансийский АО",64.8066,60.1254
"Иноземцево кп, Ставропольский край",43.0946,44.0968
"Пятигорск, Ставропольский край",43.0396,44.0499
"Калачинск, Омская область",74.5697,55.0324
"Карасук, Новосибирская область",78.0024,53.7343
"Архипо-Осиповка, Краснодарский край",38.5347,44.3716
"Прокопьевск, Кемеровская область",86.7592,53.8888
"Темрюк, Краснодарский край",37.3823,45.271
"Егорлыкская, Ростовская область",40.6527,46.5638
"Озерск, Челябинская область",60.701,55.7138
"Ейск, Краснодарский край",38.2703,46.6826
"Жирнов, Ростовская область",41.1332,48.1757
"Гурьевск, Калининградская область",20.6099,54.7801
"Петушки, Владимирская область",39.4489,55.9251
"Щекино, Тульская область",37.5096,53.9991
"Сухобузимское, Красноярский край",93.2783,56.4955
"Черноморский, Краснодарский край",38.4927,44.8526
